n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
1,	24339,	-69,	-142.299270629883,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.907,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	start,	1353168.48874865,	1353216.8972243
1,	24340,	-69,	-145.232696533203,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.92,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24341,	-69,	-143.897827148438,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.929,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24342,	-69,	-144.683364868164,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.934,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24343,	-69,	-143.96923828125,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.938,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24344,	-69,	-141.195098876953,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.947,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24345,	-69,	-144.271377563477,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.954,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24346,	-69,	-145.825988769531,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.962,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24347,	-69,	-144.403213500977,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.967,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24348,	-69,	-144.903106689453,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.971,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24349,	-69,	-141.689498901367,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850700.975,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24350,	-69,	-142.030090332031,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850710.819,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24351,	-69,	-146.216003417969,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850710.83,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24352,	-69,	-140.519424438477,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850710.834,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24353,	-69,	-142.540969848633,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850710.839,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24354,	-69,	-146.649978637695,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850710.843,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24355,	-69,	-143.189178466797,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850711.017,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
1,	24356,	-69,	-144.947052001953,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000633b2ddd9014000000000,	epc,	3000,	3331,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759850711.024,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
